sent nr	newsent nr	token nr	token	true	pred
0	1	0	1.	O	O
0	1	1	The	O	O
0	1	2	Singular	O	O
0	1	3	Experience	O	O
0	1	4	of	O	O
0	1	5	Mr.	O	O
0	1	6	John	O	O
0	1	7	Scott	O	O
0	1	8	Eccles	O	O
1	2	0	I	O	O
1	2	1	find	O	O
1	2	2	it	O	O
1	2	3	recorded	O	O
1	2	4	in	O	O
1	2	5	my	O	O
1	2	6	notebook	O	O
1	2	7	that	O	O
1	2	8	it	O	O
1	2	9	was	O	O
1	2	10	a	O	O
1	2	11	bleak	O	O
1	2	12	and	O	O
1	2	13	windy	O	O
1	2	14	day	O	O
1	2	15	towards	O	O
1	2	16	the	O	O
1	2	17	end	O	O
1	2	18	of	O	O
1	2	19	March	O	O
1	2	20	in	O	O
1	2	21	the	O	O
1	2	22	year	O	O
1	2	23	1892	O	O
1	2	24	.	O	O
2	3	0	Holmes	O	O
2	3	1	had	O	O
2	3	2	received	O	O
2	3	3	a	O	O
2	3	4	telegram	O	O
2	3	5	while	O	O
2	3	6	we	O	O
2	3	7	sat	O	O
2	3	8	at	O	O
2	3	9	our	O	O
2	3	10	lunch	O	O
2	3	11	,	O	O
2	3	12	and	O	O
2	3	13	he	O	O
2	3	14	had	O	O
2	3	15	scribbled	O	O
2	3	16	a	O	O
2	3	17	reply	O	O
2	3	18	.	O	O
3	4	0	He	O	O
3	4	1	made	O	O
3	4	2	no	B-NEG	B-NEG
3	4	3	remark	O	O
3	4	4	,	O	O
3	4	5	but	O	O
3	4	6	the	O	O
3	4	7	matter	O	O
3	4	8	remained	O	O
3	4	9	in	O	O
3	4	10	his	O	O
3	4	11	thoughts	O	O
3	4	12	,	O	O
3	4	13	for	O	O
3	4	14	he	O	O
3	4	15	stood	O	O
3	4	16	in	O	O
3	4	17	front	O	O
3	4	18	of	O	O
3	4	19	the	O	O
3	4	20	fire	O	O
3	4	21	afterwards	O	O
3	4	22	with	O	O
3	4	23	a	O	O
3	4	24	thoughtful	O	O
3	4	25	face	O	O
3	4	26	,	O	O
3	4	27	smoking	O	O
3	4	28	his	O	O
3	4	29	pipe	O	O
3	4	30	,	O	O
3	4	31	and	O	O
3	4	32	casting	O	O
3	4	33	an	O	O
3	4	34	occasional	O	O
3	4	35	glance	O	O
3	4	36	at	O	O
3	4	37	the	O	O
3	4	38	message	O	O
3	4	39	.	O	O
4	5	0	Suddenly	O	O
4	5	1	he	O	O
4	5	2	turned	O	O
4	5	3	upon	O	O
4	5	4	me	O	O
4	5	5	with	O	O
4	5	6	a	O	O
4	5	7	mischievous	O	O
4	5	8	twinkle	O	O
4	5	9	in	O	O
4	5	10	his	O	O
4	5	11	eyes	O	O
4	5	12	.	O	O
5	6	0	``	O	O
5	6	1	I	O	O
5	6	2	suppose	O	O
5	6	3	,	O	O
5	6	4	Watson	O	O
5	6	5	,	O	O
5	6	6	we	O	O
5	6	7	must	O	O
5	6	8	look	O	O
5	6	9	upon	O	O
5	6	10	you	O	O
5	6	11	as	O	O
5	6	12	a	O	O
5	6	13	man	O	O
5	6	14	of	O	O
5	6	15	letters	O	O
5	6	16	,	O	O
5	6	17	''	O	O
5	6	18	said	O	O
5	6	19	he	O	O
5	6	20	.	O	O
6	7	0	``	O	O
6	7	1	How	O	O
6	7	2	do	O	O
6	7	3	you	O	O
6	7	4	define	O	O
6	7	5	the	O	O
6	7	6	word	O	O
6	7	7	`	O	O
6	7	8	grotesque	O	O
6	7	9	'	O	O
6	7	10	?	O	O
6	7	11	''	O	O
7	8	0	``	O	O
7	8	1	Strange	O	O
7	8	2	--	O	O
7	8	3	remarkable	O	O
7	8	4	,	O	O
7	8	5	''	O	O
7	8	6	I	O	O
7	8	7	suggested	O	O
7	8	8	.	O	O
8	9	0	He	O	O
8	9	1	shook	O	O
8	9	2	his	O	O
8	9	3	head	O	O
8	9	4	at	O	O
8	9	5	my	O	O
8	9	6	definition	O	O
8	9	7	.	O	O
9	10	0	``	O	O
9	10	1	There	O	O
9	10	2	is	O	O
9	10	3	surely	O	O
9	10	4	something	O	O
9	10	5	more	O	O
9	10	6	than	O	O
9	10	7	that	O	O
9	10	8	,	O	O
9	10	9	''	O	O
9	10	10	said	O	O
9	10	11	he	O	O
